account_id;reputation;creation_date;presence;presence_factor;activity;activity_factor;frequency_factor;creation_date_int;regularity_factor
426;5618;2008-08-06 19:58:13;284605307.0;0.9978798324041934;1119;0.008585304475252993;0.33970413629707896;1218052693;0.11991499696417729
435;5468;2008-08-06 20:48:23;284602297.0;0.9978692787770416;26;0.0001994798180130276;0.007893119710133612;1218055703;0.003339404978749241
441;5123;2008-08-06 23:14:16;284593544.0;0.9978385891097789;8;6.137840554247002e-05;0.002428726914479831;1218064456;0.0012146978439113271
454;4511;2008-08-07 02:42:01;284581079.0;0.9977948844710914;37;0.00028387512563392384;0.011233353992589226;1218076921;0.0033404190707561495
411;4221;2008-08-06 18:16:34;284611406.0;0.9979012166473826;255;0.001956436676666232;0.07741081184919202;1218046594;0.03976927747419551
407;3845;2008-08-06 18:01:37;284612303.0;0.9979043616983976;9;6.905070623527878e-05;0.0027321376897751323;1218045697;0.0015179113539769277
434;3348;2008-08-06 20:43:59;284602561.0;0.997870204410785;38;0.0002915474263267326;0.011536087336895049;1218055439;0.006071645415907711
437;3340;2008-08-06 21:55:23;284598277.0;0.9978551838995828;1166;0.008945902607815005;0.3539810608199852;1218059723;0.126328575766778
430;3304;2008-08-06 20:22:46;284603834.0;0.997874667788647;145;0.001112483600457269;0.04401908373447984;1218054166;0.02185792349726776
438;3112;2008-08-06 22:24:06;284596554.0;0.9978491427369308;163;0.0012505850129278266;0.0494847875073006;1218061446;0.021864561190403888
419;3039;2008-08-06 19:28:45;284607075.0;0.9978860313453244;8276;0.06349596053368524;2.512398541041188;1218050925;0.45719489981785066
506;3997;2008-08-07 18:44:51;284523309.0;0.99759233196592;127;0.0009743821879867117;0.03856555738285752;1218134691;0.022168235651381717
521;2901;2008-08-07 20:56:49;284515391.0;0.9975645699659901;140;0.0010741220969932254;0.042514395996243314;1218142609;0.018220467658669907
520;2724;2008-08-07 20:46:54;284515986.0;0.9975666561481014;186;0.001427047928862428;0.05648329370146533;1218142014;0.030063771636805344
537;2216;2008-08-08 03:18:10;284492510.0;0.9974843448686932;132;0.0010127436914507556;0.040088225872800656;1218165490;0.012454434993924665
507;2118;2008-08-07 19:05:02;284522098.0;0.99758808597174;323;0.002478153123777227;0.0980844728622801;1218135902;0.03856665654418463
529;1878;2008-08-07 23:26:04;284506436.0;0.997533172048666;11;8.439530762089628e-05;0.0033405219697736467;1218151564;0.00212636695018226
484;1737;2008-08-07 15:52:05;284533675.0;0.9976286771151082;38;0.0002915474263267326;0.011538880239746668;1218124325;0.005466140297600972
514;1728;2008-08-07 20:00:54;284518746.0;0.9975763332281476;77;0.0005907671533462738;0.02338264207026977;1218139254;0.013361676283024598
519;1624;2008-08-07 20:33:05;284516815.0;0.9975695627783036;22;0.00016879061524179256;0.006680800219136433;1218141185;0.0030367446097783178
501;1605;2008-08-07 17:33:31;284527589.0;0.9976073384523684;496;0.0038054611436331405;0.15061597418589873;1218130411;0.06711205587610082
488;1155;2008-08-07 16:10:44;284532556.0;0.9976247536902632;77;0.0005907671533462738;0.02338150717628249;1218125444;0.010932280595201944
470;1034;2008-08-07 14:44:23;284537737.0;0.9976429192524806;486;0.003728738136705053;0.14757409840509134;1218120263;0.0716671727907683
479;887;2008-08-07 15:24:18;284535342.0;0.9976345219312086;382;0.0029308188646529434;0.11599543230028694;1218122658;0.05526875189796538
510;846;2008-08-07 19:30:03;284520597.0;0.9975828231829178;306;0.0023477240119994785;0.09292262239981172;1218137403;0.0583054965077437
472;759;2008-08-07 14:47:20;284537560.0;0.9976422986571298;65;0.0004986995450325689;0.019737288813469832;1218120440;0.012146978439113271
491;719;2008-08-07 16:15:28;284532272.0;0.9976237579327512;2;1.5344601385617504e-05;0.0006073124808844178;1218125728;0.0
492;706;2008-08-07 16:15:58;284532242.0;0.9976236527470986;821;0.006298958868795986;0.24930179968848665;1218125758;0.129972669298512
522;663;2008-08-07 21:03:27;284514993.0;0.9975631745029978;45;0.00034525353117639384;0.013665360686282005;1218143007;0.005164034021871203
475;479;2008-08-07 15:16:21;284535819.0;0.9976361943830862;232;0.001779973760731631;0.07044736958055886;1218122181;0.032493167324628
536;474;2008-08-08 03:02:44;284493436.0;0.9974875915991726;1932;0.01482288493850651;0.5867439416071448;1218164564;0.21962332928311057
525;352;2008-08-07 21:50:09;284512191.0;0.9975533501630378;375;0.002877112759803282;0.11387912723922612;1218145809;0.056500607533414335
509;346;2008-08-07 19:08:33;284521887.0;0.9975873461659829;8;6.137840554247002e-05;0.002429338590742581;1218136113;0.0012146978439113271
497;343;2008-08-07 16:54:56;284529904.0;0.9976154552785668;109;0.000836280775516154;0.033098805670703765;1218128096;0.013665350744002429
527;333;2008-08-07 23:09:32;284507428.0;0.9975366501875812;30;0.0002301690207842626;0.009110482697133658;1218150572;0.002430133657351154
481;303;2008-08-07 15:31:46;284534894.0;0.9976329511587952;44;0.0003375812304835851;0.01336075145848368;1218123106;0.006680838141512299
480;279;2008-08-07 15:28:58;284535062.0;0.9976335401984504;7;5.3706104849661265e-05;0.0021255728406504785;1218122938;0.0012146978439113271
534;249;2008-08-08 02:04:29;284496931.0;0.9974998457277094;62;0.0004756826429541427;0.0188290256108246;1218161069;0.012150668286755772
482;193;2008-08-07 15:42:08;284534272.0;0.9976307703095963;53;0.00040663193671886384;0.016093667619765682;1218123728;0.010021257212268448
463;186;2008-08-07 09:07:46;284557934.0;0.9977137337400512;108;0.0008286084748233452;0.032791916460849765;1218100066;0.010628606134224112
517;165;2008-08-07 20:12:08;284518072.0;0.9975739700571508;653;0.005010012352404116;0.1982974213321676;1218139928;0.08017005769814758
464;76;2008-08-07 09:58:55;284554865.0;0.9977029732477825;6;4.603380415685252e-05;0.0018217927850223187;1218103135;0.0009110233829334953
511;53;2008-08-07 19:33:59;284520361.0;0.99758199572245;6;4.603380415685252e-05;0.0018220137152152704;1218137639;0.0012146978439113271
535;51;2008-08-08 02:54:42;284493918.0;0.9974892815819922;89;0.000682834761659979;0.027029048824868025;1218164082;0.020048602673147023
503;38;2008-08-07 18:14:43;284525117.0;0.997598671154588;3;2.3016902078426254e-05;0.0009109916296071676;1218132883;0.0003036744609778318
487;8;2008-08-07 16:05:42;284532858.0;0.9976258125591668;73;0.0005600779505750389;0.02216685989918254;1218125142;0.012754327361068934
574;99585;2008-08-08 17:23:40;284441780.0;0.9973064759300164;55;0.0004219765381044814;0.016706406492042063;1218216220;0.007594167679222357
551;45915;2008-08-08 10:47:52;284465528.0;0.9973897408926756;28;0.00021482441939864503;0.008504369640176578;1218192472;0.003341433778857837
570;30229;2008-08-08 17:06:17;284442823.0;0.9973101328845412;1;7.672300692808752e-06;0.00030375173150352263;1218215177;0.00030376670716889426
576;27134;2008-08-08 17:33:41;284441179.0;0.9973043687107744;168;0.0012889465163918705;0.05103058583511215;1218216821;0.02187120291616039
555;26828;2008-08-08 12:47:12;284458368.0;0.99736463658357;214;0.0016418723482610731;0.06499931828337002;1218199632;0.03979343863912515
564;26226;2008-08-08 16:40:04;284444396.0;0.99731564811893;8;6.137840554247002e-05;0.002430000413859445;1218213604;0.001215066828675577
602;24942;2008-08-09 02:02:14;284410666.0;0.9971973843834367;4;3.068920277123501e-05;0.001215144301233766;1218247334;0.001215436037678517
573;15847;2008-08-08 17:21:02;284441938.0;0.9973070299077872;612;0.004695448023998957;0.18589663806889126;1218216062;0.0695625759416768
553;15034;2008-08-08 11:07:38;284464342.0;0.9973855825532064;12;9.206760831370504e-05;0.0036447450415419726;1218193658;0.002430133657351154
607;14467;2008-08-09 06:07:13;284395967.0;0.9971458469198134;176;0.0013503249219343405;0.053469112661502685;1218262033;0.02582801580066849
560;13633;2008-08-08 16:04:53;284446507.0;0.99732304968269;52;0.0003989596360260551;0.015794885468570722;1218211493;0.006075334143377886
549;13506;2008-08-08 10:39:51;284466009.0;0.9973914273693067;776;0.005953705337619592;0.23569213149821355;1218191991;0.09416767922235723
557;12988;2008-08-08 15:37:05;284448175.0;0.9973288980049788;88;0.0006751624609671702;0.026729649434382902;1218209825;0.012454434993924665
592;11211;2008-08-08 21:04:18;284428542.0;0.9972600610076784;838;0.006429387980573735;0.2545567315111435;1218229458;0.10999696140990581
581;9467;2008-08-08 18:19:10;284438450.0;0.9972948003225692;17;0.00013042911177774878;0.005163858824290457;1218219550;0.0027339003645200487
588;8340;2008-08-08 19:38:57;284433663.0;0.9972780161985904;87;0.0006674901602743616;0.0264272516857472;1218224337;0.014277035236938032
586;7493;2008-08-08 19:28:16;284434304.0;0.9972802636653694;179;0.0013733418240127668;0.054373188404166606;1218223696;0.03827460510328068
571;7414;2008-08-08 17:06:33;284442807.0;0.9973100767855264;528;0.004050974765803021;0.1603809232553383;1218215193;0.06713244228432563
563;6869;2008-08-08 16:30:11;284444989.0;0.9973177272886644;250;0.0019180751732021878;0.07593735462149415;1218213011;0.03948967193195626
609;6394;2008-08-09 06:12:46;284395634.0;0.9971446793590688;416;0.003191677088208441;0.1263816869987533;1218262366;0.058037070799149194
577;6381;2008-08-08 17:42:46;284440634.0;0.9973024578380842;119;0.0009130037824442416;0.03614673422504044;1218217366;0.016099635479951396
584;4826;2008-08-08 18:49:24;284436636.0;0.9972884400967708;51;0.0003912873353332464;0.015491675270691925;1218221364;0.007290400972053463
605;4678;2008-08-09 04:37:47;284401333.0;0.997164661126889;26;0.0001994798180130276;0.007898697155543923;1218256667;0.004861744150714068
552;4656;2008-08-08 10:57:38;284464942.0;0.99738768626626;13;9.973990900651378e-05;0.003948465466792038;1218193058;0.002430133657351154
543;4253;2008-08-08 10:02:49;284468231.0;0.9973992181199818;871;0.0066825739034364244;0.2645441276006669;1218189769;0.1166464155528554
611;3099;2008-08-09 06:28:22;284394698.0;0.9971413975667052;938;0.007196618049854609;0.284967337893198;1218263302;0.09389243391066546
580;2941;2008-08-08 18:15:00;284438700.0;0.997295676869675;223;0.001710923054496352;0.06773761798236316;1218219300;0.020352369380315916
590;2396;2008-08-08 20:17:13;284431367.0;0.9972699659899724;58;0.00044499344018290773;0.0176183100086848;1218226633;0.00425273390036452
541;2111;2008-08-08 05:31:17;284484523.0;0.9974563409417622;93;0.000713523964431214;0.028244770278768382;1218173477;0.014580801944106925
582;2073;2008-08-08 18:24:17;284438143.0;0.9972937239227236;629;0.004825877135776705;0.19106298271677294;1218219857;0.06986634264884568
618;2193;2008-08-09 07:49:09;284389851.0;0.9971244030714209;120;0.0009206760831370504;0.03645699719431971;1218268149;0.018839258584017016
644;2186;2008-08-09 12:37:29;284372551.0;0.9970637460117108;14;0.00010741220969932252;0.0042535750927662494;1218285449;0.002430872075357034
615;2159;2008-08-09 07:27:03;284391177.0;0.9971290522772692;2017;0.015475030497395252;0.612778504025109;1218266823;0.19659677909450016
616;1956;2008-08-09 07:32:28;284390852.0;0.997127912766032;17;0.00013042911177774878;0.005164723090319375;1218267148;0.0036463081130355514
633;1561;2008-08-09 10:12:41;284381239.0;0.9970942077767259;4;3.068920277123501e-05;0.0012152700410732794;1218276761;0.0009115770282588879
645;1559;2008-08-09 13:37:17;284368963.0;0.9970511658076504;548;0.004204420779659196;0.16649918296463315;1218289037;0.10240048617441506
625;1523;2008-08-09 08:15:12;284388288.0;0.9971189228989166;36;0.00027620282494111506;0.010937159268668615;1218269712;0.008204193254329991
682;1358;2008-08-10 12:40:28;284285972.0;0.9967601837242732;23;0.0001764629159346013;0.00699014441697461;1218372028;0.004559270516717325
681;1318;2008-08-10 12:39:34;284286026.0;0.996760373058448;320;0.0024551362216988014;0.0972541647193028;1218371974;0.042249240121580545
649;1317;2008-08-09 16:58:59;284356861.0;0.9970087339153606;63;0.00048335494364695134;0.01914214406804835;1218301139;0.011242783348526283
635;1265;2008-08-09 10:32:11;284380069.0;0.9970901055362716;143;0.0010971389990716515;0.04344608271404562;1218277931;0.024612579762989972
666;1221;2008-08-10 08:07:29;284302351.0;0.9968176115844466;24;0.00018413521662741009;0.007293643519676698;1218355649;0.004559270516717325
673;1109;2008-08-10 11:42:50;284289430.0;0.9967723081238384;117;0.000897659181058624;0.035558128207580565;1218368570;0.01458966565349544
685;1088;2008-08-10 12:59:07;284284853.0;0.9967562602994284;2410;0.01849024466966909;0.7324484502169378;1218373147;0.24711246200607903
